[2025-05-15 07:13:11] User ID: 6, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 07:14:41] User ID: 6, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 07:17:23] User ID: 1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 07:30:19] User ID: unknown, IP: ::1, Event: test_page, Action: clear_clipboard
[2025-05-15 07:30:24] User ID: unknown, IP: ::1, Event: test_page, Action: clear_clipboard
[2025-05-15 07:30:45] User ID: unknown, IP: ::1, Event: test_page, Action: clear_clipboard
[2025-05-15 08:58:22] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 08:58:32] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 08:58:56] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 08:58:58] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:03:25] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 09:03:35] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:05:21] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:06:47] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:07:17] User ID: 7, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 09:07:28] User ID: 7, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 09:07:42] User ID: 7, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 09:07:52] User ID: 7, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 09:08:56] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:10:04] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:14:39] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:14:58] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 09:15:00] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:15:26] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:15:28] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:16:25] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 09:16:26] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:17:56] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 09:17:57] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 09:18:15] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-15 09:21:31] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 09:30:12] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:00:24] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:00:26] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:04:39] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:04:44] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 10:04:52] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:04:53] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:07:17] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:07:19] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:07:35] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:08:14] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:22:03] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:22:05] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:23:15] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:24:14] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:24:16] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:24:41] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:24:43] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:27:28] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:27:30] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:29:11] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:33:04] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:33:05] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:34:22] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:34:27] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:34:28] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:34:58] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:34:59] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:48:42] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:48:43] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:49:22] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:51:06] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:51:08] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:51:34] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:54:07] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:54:13] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:54:14] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:56:05] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:56:07] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:56:57] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:03:08] User ID: 8, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:03:10] User ID: 8, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:18:09] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:18:10] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:18:32] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:18:33] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:28:12] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:28:17] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
